row,column,od,gfp,date,hour,plate,well
G,8,0.624,1699,2017-12-20,9,yp14,G8
G,9,0.745,3540,2017-12-20,9,yp14,G9
G,10,0.69,1603,2017-12-20,9,yp14,G10
G,11,0.041,229,2017-12-20,9,yp14,G11
G,12,0.688,1364,2017-12-20,9,yp14,G12
H,1,0.605,1962,2017-12-20,9,yp14,H1
H,2,0.625,1797,2017-12-20,9,yp14,H2
H,3,0.722,1749,2017-12-20,9,yp14,H3
H,4,0.775,1664,2017-12-20,9,yp14,H4
H,5,0.772,1740,2017-12-20,9,yp14,H5
H,6,0.755,1658,2017-12-20,9,yp14,H6
H,7,0.77,1861,2017-12-20,9,yp14,H7
H,8,0.751,1662,2017-12-20,9,yp14,H8
H,9,0.75,1713,2017-12-20,9,yp14,H9
H,10,0.775,1613,2017-12-20,9,yp14,H10
H,11,0.04,219,2017-12-20,9,yp14,H11
H,12,0.714,1255,2017-12-20,9,yp14,H12
A,1,0.191,NA,2018-05-07,12,yp15,A1
A,2,0.178,NA,2018-05-07,12,yp15,A2
A,3,0.172,NA,2018-05-07,12,yp15,A3
A,4,0.174,NA,2018-05-07,12,yp15,A4
A,5,0.189,NA,2018-05-07,12,yp15,A5
A,6,0.185,NA,2018-05-07,12,yp15,A6
A,7,0.175,NA,2018-05-07,12,yp15,A7
A,8,0.199,NA,2018-05-07,12,yp15,A8
A,9,0.187,NA,2018-05-07,12,yp15,A9
A,10,0.332,NA,2018-05-07,12,yp15,A10
A,11,NA,NA,2018-05-07,12,yp15,A11
A,12,NA,NA,2018-05-07,12,yp15,A12
B,1,0.168,NA,2018-05-07,12,yp15,B1
B,2,0.168,NA,2018-05-07,12,yp15,B2
B,3,0.178,NA,2018-05-07,12,yp15,B3
B,4,0.193,NA,2018-05-07,12,yp15,B4
B,5,0.194,NA,2018-05-07,12,yp15,B5
B,6,0.177,NA,2018-05-07,12,yp15,B6
B,7,0.18,NA,2018-05-07,12,yp15,B7
B,8,0.2,NA,2018-05-07,12,yp15,B8
B,9,0.172,NA,2018-05-07,12,yp15,B9
B,10,0.278,NA,2018-05-07,12,yp15,B10
B,11,NA,NA,2018-05-07,12,yp15,B11
B,12,NA,NA,2018-05-07,12,yp15,B12
C,1,0.182,NA,2018-05-07,12,yp15,C1
C,2,0.184,NA,2018-05-07,12,yp15,C2
C,3,0.189,NA,2018-05-07,12,yp15,C3
C,4,0.178,NA,2018-05-07,12,yp15,C4
C,5,0.181,NA,2018-05-07,12,yp15,C5
C,6,0.18,NA,2018-05-07,12,yp15,C6
C,7,0.176,NA,2018-05-07,12,yp15,C7
C,8,0.175,NA,2018-05-07,12,yp15,C8
C,9,0.186,NA,2018-05-07,12,yp15,C9
C,10,0.3,NA,2018-05-07,12,yp15,C10
C,11,NA,NA,2018-05-07,12,yp15,C11
C,12,NA,NA,2018-05-07,12,yp15,C12
D,1,0.196,NA,2018-05-07,12,yp15,D1
D,2,0.229,NA,2018-05-07,12,yp15,D2
D,3,0.209,NA,2018-05-07,12,yp15,D3
D,4,0.241,NA,2018-05-07,12,yp15,D4
D,5,0.166,NA,2018-05-07,12,yp15,D5
D,6,0.167,NA,2018-05-07,12,yp15,D6
D,7,0.16,NA,2018-05-07,12,yp15,D7
D,8,0.166,NA,2018-05-07,12,yp15,D8
D,9,0.226,NA,2018-05-07,12,yp15,D9
D,10,0.349,NA,2018-05-07,12,yp15,D10
D,11,NA,NA,2018-05-07,12,yp15,D11
D,12,NA,NA,2018-05-07,12,yp15,D12
E,1,0.182,NA,2018-05-07,12,yp15,E1
E,2,0.178,NA,2018-05-07,12,yp15,E2
E,3,0.173,NA,2018-05-07,12,yp15,E3
E,4,0.192,NA,2018-05-07,12,yp15,E4
E,5,0.178,NA,2018-05-07,12,yp15,E5
E,6,0.19,NA,2018-05-07,12,yp15,E6
E,7,0.191,NA,2018-05-07,12,yp15,E7
E,8,0.24,NA,2018-05-07,12,yp15,E8
E,9,0.169,NA,2018-05-07,12,yp15,E9
E,10,0.275,NA,2018-05-07,12,yp15,E10
E,11,NA,NA,2018-05-07,12,yp15,E11
E,12,NA,NA,2018-05-07,12,yp15,E12
F,1,0.201,NA,2018-05-07,12,yp15,F1
F,2,0.227,NA,2018-05-07,12,yp15,F2
F,3,0.174,NA,2018-05-07,12,yp15,F3
F,4,0.18,NA,2018-05-07,12,yp15,F4
F,5,0.17,NA,2018-05-07,12,yp15,F5
F,6,0.166,NA,2018-05-07,12,yp15,F6
F,7,0.155,NA,2018-05-07,12,yp15,F7
F,8,0.159,NA,2018-05-07,12,yp15,F8
F,9,0.166,NA,2018-05-07,12,yp15,F9
F,10,0.28,NA,2018-05-07,12,yp15,F10
F,11,NA,NA,2018-05-07,12,yp15,F11
F,12,NA,NA,2018-05-07,12,yp15,F12
G,1,NA,NA,2018-05-07,12,yp15,G1
G,2,NA,NA,2018-05-07,12,yp15,G2
G,3,NA,NA,2018-05-07,12,yp15,G3
G,4,NA,NA,2018-05-07,12,yp15,G4
G,5,NA,NA,2018-05-07,12,yp15,G5
G,6,NA,NA,2018-05-07,12,yp15,G6
G,7,NA,NA,2018-05-07,12,yp15,G7
G,8,NA,NA,2018-05-07,12,yp15,G8
G,9,NA,NA,2018-05-07,12,yp15,G9
G,10,NA,NA,2018-05-07,12,yp15,G10
G,11,NA,NA,2018-05-07,12,yp15,G11
G,12,NA,NA,2018-05-07,12,yp15,G12
H,1,NA,NA,2018-05-07,12,yp15,H1
